Sentence,Manual_Annotation,Matched_Terms
This leaves deaf and hard of hearing users with no way of learning about events that provide no spoken information such as the sounds produced by a faulty appliance or the barked alert of a dutiful guard dog.,0,hard of hearing
"Especially for visually impaired people, mobility is important function for promoting social participation.",1,visually impaired
This study presents a situation-based wayfinding system for the visually impaired.,1,visually impaired
"In the experiment, the visually impaired people could lead the collaborative work without hesitating even in front of the sighted people whom they did not know very well.",1,visually impaired
"Gesture typing outperformed the typical tap typing for older adults, and was very easy for them to learn.",0,typical
"We assert that understanding how sighted users browse Web pages can provide important information that will enhance Web Accessibility, especially for visually impaired users.",1,visually impaired
Maps have been made in the past for visually impaired people but people felt uncomfortable using them.,1,visually impaired
The power of this approach is that it is possible to use the patient's recordings to adapt existing voice models pre-trained on many speakers.,0,patient
We found that there is a great need to provide blind and visually impaired people with more flexible tool to access rich media content.,1,visually impaired
"In this study, we investigate a new approach that uses Sign Language as a means to navigate and access online content.",0,sign language
"Sighted people often have the best of intentions when they want to help a blind person navigate, but their well meaning is also often coupled with a lack of knowledge and understanding about how a person navigates without vision.",0,blind person
A working prototype of this system has been tested on the issue of currency bill recognition encountered by most of the blind people.,0,the blind
"However, existing computer-aided design (CAD) tools that allow authoring and editing of 3D models are mostly visually reliant and limit access for people who are blind or visually impaired.",1,visually impaired
"Since there is no universal profile of a user with dyslexia, the layout settings are customizable and users can override the special layout setting according to their reading preferences.",0,special
Researchers evaluate their sign language animation systems by collecting subjective judgments and comprehension-question responses from deaf participants.,0,sign language
"Employing a participatory design methodology, we involved visually impaired individuals throughout the development process of specialized kickboxing equipment.",1,visually impaired
"Telepresence robots provide a unique opportunity for people with DD to access public spaces, particularly for those who are homebound or dependent on others for using transportation or buying exhibit tickets.",1,homebound
Implementation was kept open-ended to allow teachers to use it in ways that best fit with their existing embedded practices.,0,fit
This paper presents an indoor wayfinding system to help the visually impaired finding their way to a given destination in an unfamiliar environment.,1,visually impaired
"Embodied Exploration&nbsp;allows wheelchair users to explore high-fidelity digital replicas of physical environments with themselves embodied by avatars, leveraging the increasingly affordable VR headsets.",0,wheelchair user
"Results from the second study confirm that captioning online videos makes the Internet more accessible to the deaf users, even when the captions are automatically generated.",0,the deaf
The goal of HoloLearn is to help people with NDD learn how to perform simple everyday tasks in domestic environments and improve autonomy.,0,simple
"Individuals diagnosed with autism spectrum disorder (ASD) often fixate on narrow, restricted interests.",0,disorder
Animations produced by the new system were tested with 40 members of the Deaf community in the United States.,0,the deaf
We propose a new captioning-focused evaluation metric that better predicts the impact of ASR recognition errors on the usability of automatically generated captions for people who are Deaf or Hard of Hearing (DHH).,0,hard of hearing
"Emergent themes included trustworthiness, flexibility in formatting, use of multimedia, multiple modes of communication, cost, and accommodations for special interests.",0,special
"Audio description, an accessibility service used by blind or visually impaired individuals, provides spoken descriptions of visual content.",1,visually impaired
"This method enables rapid verification of the hand mouthing intervention strategies proposed by special education teachers, thereby reducing students' hand-mouthing behavior and facilitating individual learning.",1,special
"In this paper, we present a system that uses 3D printing to (1) make tactile maps more affordable to produce, (2) allow visually impaired individuals to independently design and customize maps, and (3) provide interactivity using widely available mobile devices.",1,visually impaired
This proves that it is possible to design inclusive unified interfaces for motor-impaired and able-bodied users once the correct parameterization or adaptability is assured.,1,able-bodied
"When visually impaired pedestrians walk from one place to another by themselves, they must update their orientation and position to find their way and avoid obstacles and hazards.",1,visually impaired
"This approach could make computer labs with expensive software not only accessible to the disabled, but instead, to everyone around the clock while saving money, which is still being spent to pay lab supervisors to keep the labs open for a few hours without losing---but instead---gaining functionality.",1,the disabled
"In this paper, we present a 2.5-year autoethnographic travel account of a hard of hearing individual-Jain.",0,hard of hearing
"It employs a simple user model describing visual, cognitive, motor, and other abilities.",0,simple
The blind user fills out the form fields in the HTML page with their screen reader and these filled-in data values are transparently transferred onto the corresponding form fields in the PDF document.,0,the blind
"This presentation demonstrates a working prototype of the CUbiC Note Taker, which is a highly portable device that allows students who are legally blind to take their own notes in class without any special in-classroom accommodations, and without requiring lecturers to adapt their presentation in any way.",0,special
"The linear layout of the EZ ballot structure fundamentally re-conceptualizes ballot design to provide the same simple and intuitive voting experience for all voters, regardless of ability or input/output (I/O) device used.",0,simple
"This paper extends our previous research into DIY tools in special education settings [1] and presents the development of a unique tool, GripFab, for creating 3D-printed custom handgrips.",1,special
"Deaf children benefit from early exposure to language, and higher levels of written language literacy have been measured in deaf adults who were raised in homes using American Sign Language (ASL).",0,sign language
"Sign language learners often find it challenging to self-identify and correct mistakes, and so many turn to automated methods that provide sign language feedback.",0,sign language
"While we believe this model is uniquely suited for individuals with ASD, we also foresee this approach being useful for anyone that might like a quick and simple way to personalize software programs.",0,simple
Switching between them supports the development of a mental model of a chart.,0,mental
This paper presents an approach to improve the accessibility of kickboxing for visually impaired individuals.,1,visually impaired
Independent mobility is one of the main challenges for blind or visually impaired (BVI) people.,1,visually impaired
For example abrupt and frequently changing online social networks were reported to slow down or prevent use.,0,slow
It is likely that this research will uncover typological features exhibited by African sign languages.,0,sign language
"This paper discusses the main objectives of the ASL CLeaR, describes the components of the application, and suggests future work that could lead to improved educational outcomes for deaf and hard of hearing students in STEM topics.",0,hard of hearing
"This paper discusses about an architecture of user interface toolkit to support flexibility required by both users with disability and users in special environment, and proposes a model of semantic abstraction of user interaction, named abstract widgets.",0,special
A low-fidelity prototype was developed and usertested on one visually impaired and two blindfolded participants.,1,visually impaired
"The participant strongly demanded to improve the low accuracy and the slow software keyboard typing, and the poor understanding of the shape of the picture.",0,slow
"The possibility of pre-compensating images in a computer display according to the visual aberrations previously assessed in an optical system (e.g., the computer user's eye) has been confirmed for a simple ""artificial eye"".",0,simple
"Interacting with close-range objects in Virtual Reality (VR) is often prompted by visual cues, making it hard for visually impaired people to perceive their location and interact with them.",1,visually impaired
"Existing tools and practices impose high coordination overhead on blind or visually impaired (BVI) developers, impeding their abilities to collaborate effectively, compromising their agency, and limiting their contribution.",1,visually impaired
"Taking advantage of the convenience and mobility of modern smartphones, TranslatAble allows individuals with complex communication needs-specifically individuals with severe dysarthria or individuals who primarily use non-sign language gestures---to build their own system of communication through speech or gesture input.",0,sign language
"Although all participants were effective employees, they expressed that working in a predominantly sighted office environment produces impediments to a blind person's independence and to their integration as an equal coworker.",0,blind person
"Since 1976, when California State University Northridge (CSUN) began its Annual International Technology and Persons with Disabilities Conference, there have been specialized conferences with an accessibility theme.",0,persons with disabilities
Providing the blind with substitute visual perception is a relentless challenge confronting researchers of diverse areas.,1,the blind
"We explore this idea through the lens of sign language video collection, which is crucial for advancing sign language recognition and translation.",0,sign language
"Thus, we propose a solution consisting of a multimodal map of urban environment which provides verbal audio information that is selectively bound to specific locations on the map.",0,bound
"In addition to providing opportunities to students, faculty, and caregivers in their efforts to integrate 3D printing in special education settings, our investigation also revealed several concerns and challenges.",1,special
"Based on these results, a new multimodal device design concept has been generated which will improve upon previous solutions and give graphic editing and viewing to blind and visually impaired individuals at a low cost.",1,visually impaired
Mobile sign language video communication has the potential to be more accessible and affordable if the current recommended video transmission standard of 25 frames per second at 100 kilobits per second (kbps) as prescribed in the International Telecommunication Standardization Sector (ITU-T) Q.26/16 were relaxed.,0,sign language
"As a result of evaluation using nine wheelchair users' data with Support Vector Machine, three ground surface types, curb, tactile indicator, and slope, were detected with f-score (and accuracy) of 0.63 (0.92), 0.65 (0.85), and 0.54 (0.97) respectively.",0,wheelchair user
Deaf and Hard of Hearing (DHH) children are often at risk of language deprivation due to hearing parents’ limited knowledge of sign language - the natural language for DHH children at birth.,0,hard of hearing
"However, sign language datasets lack the volume and variety necessary to work well.",0,sign language
"Despite researchers having extensively studied various ways to track body pose on-the-go, most prior work does not take into account wheelchair users, leading to poor tracking performance.",0,wheelchair user
"We found that our participants wanted more than simple phone functions, and instead wanted a variety of application areas.",0,simple
Haptic colour identification aids exist but are slow to learn.,0,slow
"We present a web study exploring signers’ concerns in contributing to video corpora and their attitudes about using filters, and a computer vision experiment exploring sign language recognition performance with filtered data.",0,sign language
"Our VocaliD system combines the source characteristics of the disordered speaker with the filter characteristics of an age-matched healthy speaker using voice transformation techniques, in order to produce a personalized voice.",1,healthy
This paper examines factors that affect performance of a basic menu selection task by users who are visually healthy and users with Diabetic Retinopathy (DR) in order to inform better interface design.,1,healthy
"Through an iterative design process using Wizard of Oz (WOz) prototypes, we designed a video calling application for people with Autism Spectrum Disorder.",0,disorder
Knowing the location of crosswalks is critical for a blind person planning a trip that includes street crossing.,0,blind person
The aim of this study is to assess if using the music multimedia tool ACMUS with people with severe mental disorders is feasible and potentially beneficial.,1,mental
"Highly textual websites present barriers to Deaf people, primarily using American Sign Language for communication.",0,sign language
"Through thematic analysis, we identified four themes (i.e., enforced use of technology; need for support in technology use; equivocal stance towards sharing data; hypothetical value of technology for healthy ageing) to provide a deeper understanding of older adults' attitudes and engagement with information- and communication technologies (ICT) in general and SMHS in particular.",0,healthy
"We come up with an idea of Presentation Methods of Sound Information, which is thought to enable visually impaired people to define the object location on the touch-screen.",1,visually impaired
We base this on findings from two studies at a special school in New Delhi.,1,special
"At present, there are few, if any, customization features for invisible disabilities (e.g., chronic health conditions, mental health conditions, neurodivergence) in social VR platforms.",0,mental
"In this report, we introduce its general framework for color-audio encoding of images to provide visually impaired individuals with a low-cost application for color perception substitution, using the sense of hearing instead of sight.",1,visually impaired
Precisely guiding a blind person's hand can be useful for a range of applications from tracing printed text to learning and understanding shapes and gestures.,0,blind person
Four cooking techniques commonly used to prepare Indian dishes were identified and interviews were carried out with a diverse group of visually impaired persons (n=12).,1,visually impaired
"These studies and related literature suggest potential for future iterations of the system to benefit blind and visually impaired users in educational, professional, and recreational contexts.",1,visually impaired
The resulting system illustrates a general methodology of creating simple scripts operating over visual features that can be directly included in existing tools.,0,simple
We learned that online tests act as an important resource that address the shortcomings in support systems for people with professionally diagnosed or suspected cognitive or mental disabilities.,0,mental
In the current work we are developing a tonally based mechanism that allows the visually handicapped user to navigate through the same complex hierarchical menu structures used in the GUI.,1,handicapped
We study real-time anomaly detection in a context that considers user trajectories as input and tries to identify anomaly for users following normal routes such as taking public transportation from the workplace to home or vice versa.,0,normal
"This paper presents a tablet-based application for activity schedules that has been designed following a participatory design approach involving mainstream teachers, special-education teachers and school aides.",1,special
"To find out, we interviewed 17 adults with cognitive or mental disabilities about their motivation for and experience using online tests.",0,mental
"The second experiment looks at typical pointing tasks (e.g., dragging) for each technology.",0,typical
Our prototype is evaluated against a screen-based state of the art interface in a study with three navigation tasks completed by seven power wheelchair users.,0,wheelchair user
"While results indicated that an app cannot overcome many of the challenges parents face, parents still expressed a very positive attitude towards using a sign language learning app.",0,sign language
Sign language narration is difficult to view at live planetarium shows because the room is dark and the signer is not located near images projected onto the planetarium dome.,0,sign language
"With the adoption of 3D printing technologies, visually impaired students and teachers will have more access to 3D printed tactile models.",1,visually impaired
"To motivate people with ID to engage in the training, we gamified the training of pedestrian safety for children with ID in special education school settings.",1,special
"Through our grounded theory analysis, we found that BLV older adults experience liminality as they acquire smartphones and transition through re-acquiring smartphones as they become blind, and they can transition through liminality by participating in mutual aid within the blind community.",0,the blind
"This paper presents the design of an end-to-end sign language dictionary system, incorporating design recommendations from recent human–computer interaction (HCI) research.",0,sign language
A controlled study (N=10) conducted at the Indiana School for the Blind and Visually Impaired compared topic- and list-based back to traditional back mechanisms while participants completed fact-finding tasks.,0,the blind
I offer a new crip-material exploration (CME) framework to expand the understanding of PwD expertise.,0,crip
"In collaboration with NGOs dedicated to supported employment programs, a novel Context-Aware Task Prompting system (CATPro) is presented in this research to increase work and life independence for cognitive-impaired patients such as people with traumatic brain injury, cerebral palsy, mental retardation, schizophrenia, dementia, and Alzheimer's disease.",1,mental
"This paper describes the evaluation of software, software designed to allow visually impaired users to explore the structures of chemical molecules using a speech based presentation.",1,visually impaired
A consequence of these products moving to voice control is that people who are deaf and hard of hearing (DHH) may be unable to use them.,0,hard of hearing
"By adopting a critical disability theory lens, I critique the techno-solutionism currently present in digital mental health care.",0,mental
We demonstrate a system designed to assist a visually impaired individual while moving in an unfamiliar environment.,1,visually impaired
Many students with visual impairments (VIs) study in public schools instead of special education programs.,1,special
"We show that deaf and hard of hearing students prefer multiple, focused videos over a single, high-quality video and that a compacted layout of only the most important views is preferred.",0,hard of hearing
"Therefore, we designed a web-based Urdu Braille Translator and interactive Braille learning tool to enhance the Urdu Braille learning experience for parents of visually impaired.",1,visually impaired
"We present our investigation at three diverse sites as a case study of 3D printing in the realm of special education, discuss obstacles to efficient 3D printing in this context, and offer suggestions for designers and technologists.",1,special
"Further, we came to appreciate the importance of harnessing teacher perspectives in the design of effective e-learning tools for special students.",1,special
"Millions of Deaf and hard-of-hearing (DHH) people primarily use a sign language for communication, but there is a lack of adequate sign language interpreting to fill these communication needs.",0,sign language
The design and layout of a keyboard for entering braille changes the mental effort required to transform the dots prior to inputting the braille cells.,0,mental
"Typical sidewalk mapping methods rely on surveyor collections, which are non-standardized, laborious, costly, difficult to maintain, and do not scale well.",0,typical
"For this study, participants with AMD and visually-healthy controls used a handheld computer to search, select and manipulate familiar playing card icons under varied icon set sizes, inter-icon spacing and auditory feedback conditions.",1,healthy
"With WB audio, individuals with hearing loss exhibit better speech recognition, expend less perceived mental effort, and rate speech quality higher than with NB audio.",0,mental
"RASSAR’s design was informed by a formative interview study with 18 participants from five key stakeholder groups, including wheelchair users, blind and low vision participants, families with young children, and caregivers.",0,wheelchair user
"A range of potential cursor measures was applied, and a number of them were found to be significant in capturing the differences between able-bodied users and motion-impaired users, as well as the differences between a haptic force feedback condition and a control condition.",1,able-bodied
We call this emerging area Personal Safety Management and contribute a set of four broad subareas that deserve further exploration by researchers and designers working within the blind and broader disabilities communities.,1,the blind
This paper presents a prototype of an educative and inclusive application: the Brazilian Sign Language Multimedia Hangman Game.,0,sign language
"As data visualization has become increasingly important in our society, many challenges prevent people who are blind and visually impaired (BVI) from fully engaging with data and data graphics.",1,visually impaired
Biofeedback games help users maintain specific mental or physical states and are useful to help people with cognitive impairments learn to self-regulate their brain function.,1,impairments
"While the main focus of research is the computation of users' position, the additional challenge of conveying guidance instructions arises when the target user is blind or visually impaired (BVI).",1,visually impaired
"The Americans with Disabilities Act requires online lecture creators to caption the videos for deaf and hard of hearing students, or for deaf and low vision (DLV) students who request these accommodations.",0,hard of hearing
We take a qualitative approach to understanding deaf and hard of hearing (DHH) students' experiences with real-time captioning as an access technology in mainstream university classrooms.,0,hard of hearing
We designed a system for hunchback detection using smart phone.,0,hunchback
Such systems offer a simple alternative to expensive specialized stroke rehabilitation software.,0,simple
Learning a musical instrument can be a challenging task for a deaf person due to limited access to sound.,0,deaf person
Stuttering is a speech disorder which impacts the personal and professional lives of millions of people worldwide.,0,disorder
"However, it is not clear if the way that assistance is provided by such devices is what manual wheelchair users need and expect.",0,wheelchair user
This paper studies human movement of both mobility and visually impaired people using mobile sensing devices as the first step toward creating an accessible information base.,1,visually impaired
"Current symbol-based dictionaries providing vocabulary support for persons with the language disorder, aphasia, are housed on smartphones or other portable devices.",0,disorder
"Although many sports games have been adapted for visually impaired players, these games often fail to engage sighted individuals or might be perceived as dull by them.",1,visually impaired
"We explored users' ability to play simple interactive games and learn visual principles, and explored the feelings and opinions of both the users and instructors during the shift.",0,simple
"While strings and syntax trees are used by the Natural Language Processing community to represent the structure of spoken languages, these encodings are difficult to adapt to a signed language like American Sign Language (ASL).",0,sign language
Persons with cognitive or mental disabilities have difficulties participating in or are excluded from IT development and assessments exercises due to the problems finding good ways to efficiently collaborate on equal terms.,0,mental
"Interactive devices offer promise as creative tools for teachers of the visually impaired (TVIs) as they can support real-time iteration of adapted learning materials, display changing information, and provide embodied learning experiences for BLV students.",1,visually impaired
"Providing blind and visually impaired people with the descriptions of key visual elements can greatly improve the accessibility of video, film and television.",1,visually impaired
"Four legally-blind participants were asked to don the Emotiv Epoc headset, and authenticate entry using gestural cues, emotional cues and mental commands.",0,mental
"To assess the validity of the proposed wayfinding system, we have conducted field test with four visually impaired, then the results showed that they can find the optimal path in real-time with an accuracy of 95\%.",1,visually impaired
"This paper proposes a new method, which also utilizes the semantic and syntactical contexts in the preceding texts to help disambiguate the user desired words, therefore further reduce the number of keystrokes needed from physically challenged users.",1,challenged
"One of the big problems visually impaired persons experience in their daily lives, is the inability to see non-verbal cues of conversation partners.",1,visually impaired
"The so-called Walker is able to autonomously drive to patients and then changes into a more traditional walking-frame, i.e. one that has to be pushed by the patient, but it can still help by giving navigation instructions.",0,patient
"We have built a new interaction toolkit called the Responsive Spatial Audio Cloud (ReSAC), developed around spatial audio technology, to enable visually impaired players to play video games.",1,visually impaired
"Despite advances in assistive technology, challenges remain in pre-college computer science outreach and university programs for visually impaired students.",1,visually impaired
"Data is collected in close cooperation with Disabled People's International (DPI) and persons with disabilities worldwide, considering their best position to assess and report on digital accessibility matters in their respective countries.",0,persons with disabilities
"Since these individuals may not emote in a typical way, most techniques for affective computing will not work for this population.",0,typical
This  way  the  whole  diagram  can  be  explored  in  an  audio-tactile  way.,0,whole
"While researchers have been able to establish that non-visual input is slow and error prone, there is little understanding on how to improve it.",0,slow
"It is concluded that increasing complexity, oftentimes caused by adding new technology to a Web page, inadvertently contributes to increasing barriers to accessibility for persons with disabilities.",0,persons with disabilities
"This and other findings support our recommendation that intelligible mobile sign language conversations can occur at frame rates as low as 10 fps/50 kbps while optimizing resource consumption, video intelligibility, and user preferences.",0,sign language
The first round of consultations was conducted with 3 visually impaired adults with significant programming experience; the second one involved 9 children with mixed visual abilities.,1,visually impaired
"The context is a special school in New Delhi, Nai Disha, where we designed and developed an application, Kirana, that integrates arithmetic and social interaction to teach purchasing of items from a local grocery store.",1,special
"Using a tour design task, we invited 12 first-time blind visitors to explore the museum building, chose exhibits that attracted them, and built a mental map with exhibit names and directions.",0,mental
"To expand the services that are based on Japanese Sign Language (JSL) for deaf and hard of hearing people, we developed a support system for viewing sports program.",0,hard of hearing
"We present a content analysis of 122 YouTube videos to highlight the cooking practices of visually impaired people, and we describe detailed practices for 12 different cooking activities (e.g., cutting and chopping, measuring, testing food for doneness).",1,visually impaired
Geriatric depression is a common mental health condition affecting majority of older adults in the US.,0,mental
Due to a lack of immersive exposure to their natural language - sign language - they are at severe risk of language deprivation.,0,sign language
"In this work, we adopt a constructive visualization framework of using simple and versatile tokens to engage non-experts in the construction of tactile data representations.",0,simple
Documentation of STEM vocabulary will also help facilitate access to education for the Deaf community.,0,the deaf
"However, the number of TGs available to users is considerably limited because they need to be created by designers and teachers of the visually impaired (TVIs) with extensive experience.",1,visually impaired
"Many individuals who are blind or visually impaired are interested in drawing tactile pictures, and some have already done so with static raised-line drawing kits.",1,visually impaired
Fully Automated Vehicles (FAVs) have the potential to provide blind and visually impaired (BVI) individuals with mobility independence.,1,visually impaired
it is not accessible to the visually impaired as it relies on visual stimuli.,1,visually impaired
"We explore the use of the wheelchair using different control paradigms (independent, remote, and shared) from both the wheelchair and the remote control seat with 5 dyads and 1 triad of participants, including wheelchair users and non. Results highlight key advantages and disadvantages of the SeaHare in different paradigms, with participants’ perceptions affected by their skills and lived experiences, and reflections on how different control modes might suit different scenarios.",0,wheelchair user
"We then deployed three real-time personalized ICV simulations to nine people with typical colour vision, encouraging them to take photos of interesting colour situations.",1,typical
This system monitors the abnormal activities of an older adult using wireless motion sensors and machine learning models.,0,abnormal
The VJ-Voicebot relies only on continuous and discrete non-verbal vocal sounds to interact with objects in its environment.,0,non-verbal
"Personalized simulations of other sensory impairments have been shown to improve understanding, so digital personalized simulations of hearing loss might improve understanding for hearing parents of d/Deaf and hard of hearing (DHH) children, but only if there is demand for it.",0,hard of hearing
"Most existing entry methods that use the joystick take the form of on-screen or selection keyboards which require multiple movements of a joystick to enter a single character, making text input slow.",0,slow
"Existing accessible drawing tools, which construct images line by line, are suitable for simple tasks like math but not for more expressive artwork.",0,simple
"However, avatar research is characterized by the fact that most researchers are not members of the Deaf community, and that Deaf people as potential users have little or no knowledge about avatars.",0,the deaf
"This paper presents SUITEKeys, a continuous speech understanding interface for motor-control challenged computer users.",1,challenged
Translating from English to American Sign Language (ASL) requires an avatar to display synthesized ASL.,0,sign language
"The study was conducted using AudioBrowser, a non-visual information access for the visually impaired.",1,visually impaired
The reliance on vision for tasks related to cooking and eating healthy can present barriers to cooking for oneself and achieving proper nutrition.,0,healthy
"Music is an aural art form, but it is notated graphically, and highly visual mainstream technologies pose significant accessibility barriers to blind and visually impaired users.",1,visually impaired
"Several tests have been conducted and despite minor changes to the gameplay, visually impaired players are able to play the game successfully and enjoy the challenge the game provides.",1,visually impaired
We hypothesize that one of the reasons for the slow adoption of UD is that universal design resources (UDRs) are not adequate for facilitating designers' tasks.,0,slow
The system automatically generates Japanese Sign Language (JSL) computer graphics (CG) animation and subtitles from prepared templates of JSL phrases corresponding to fixed format game data.,0,sign language
"This demonstration will show the features and function of the portable iCARE Reader device, which allows people who are blind or visually impaired to read books (and other forms of printed text) in a more natural and convenient way than current tabletop flatbed scanner systems.",1,visually impaired
"This limitation excludes this population from learning to code and, for those who develop a musculoskeletal disorder in later stages, could jeopardize their programming careers.",0,disorder
It is based on a study of French Sign Language (LSF).,0,sign language
